alpha,beta,omega,split
0.6868320587529253,0.04453489395953103,0.8454238265928119,train
0.9324961355113663,0.2472006988029939,1.0410987281617254,test
1.3791845972190993,0.11020152081271128,1.202657141869638,train
1.3311357532599017,0.2106111586563728,1.2094548582282805,test
1.7145661638691667,0.29665511371862446,1.3785379921151422,train
1.3407139280092788,0.21351090327898767,1.2141693263798548,train
0.9326318216468157,0.27293886202806417,1.0492198691402885,test
1.1193445140213392,0.013872935104001534,1.0624007067489754,test
1.7271814564563657,0.18507806625749182,1.3564387716638615,train
1.4397596936296302,0.038223580734573395,1.2104840618668598,train
1.9386164640461634,0.2630263429390877,1.4496440163577722,train
1.0541066166375213,0.28847184837907275,1.1095636089239893,test
1.3289172657819308,0.01990453748534805,1.158583662836339,train
1.3908863024197524,0.04864579160698334,1.1929211787744651,train
1.77243681241259,0.2515007001933247,1.3887607750676536,train
0.7182103072797976,0.20919706382698885,0.9203889634764129,test
1.10976550512219,0.2946807552099427,1.13589241946516,train
1.8649384424934454,0.2293876665072061,1.416304098936139,train
0.5646003328523063,0.18231512161212451,0.8229917302222691,test
1.7340594202722528,0.166380543574902,1.3546353170512635,train
1.123076056056837,0.012861534315179498,1.0638367893158354,train
1.744705977917154,0.2373062642227254,1.3753762980606863,train
0.5149318412109379,0.12136051805822938,0.7674708076895391,train
1.0475692366374059,0.040929427859379766,1.0365792128252878,train
0.6179450557484598,0.1685820911626948,0.8493387562616866,train
1.4789218645049576,0.11728919463240746,1.2451839606391488,train
0.9107736478993358,0.18569880693622143,1.0128409871301214,test
1.5539781059896796,0.014834916749449712,1.250595461254881,train
1.9157021404131362,0.057843072356784875,1.3979160342579984,test
0.6902256533918716,0.16655096964738492,0.889873419661098,train
1.797167443101161,0.18687315070495283,1.3823339785939728,train
0.5891962274005077,0.03384210618911933,0.7815142524012624,train
1.0711557624663341,0.1945495838790331,1.0922043582280654,train
1.144661091767865,0.25395413302646197,1.1402453880601455,train
1.2332743202501963,0.09316725151446006,1.1359434864286468,train
1.9646934829040668,0.16118592580566113,1.4362503793632253,train
1.6635367821527425,0.27277458972771285,1.3543453175380666,train
0.9632860440788915,0.21385830872127237,1.0460524248278906,train
0.9047551782512002,0.06994947510795536,0.9734083867887505,train
1.7946803062839767,0.29028287574956607,1.4058010613067566,train
1.8219607591065348,0.10920176274909028,1.3752027187484295,train
1.266059758315468,0.24901870784038954,1.192087311678577,train
1.016443596443488,0.14123006795981302,1.0507321964963372,train
1.9923760222413767,0.23903259303901345,1.462537733322705,test
0.9739153180515503,0.2770675754979172,1.0697595204131038,test
0.7740685683898436,0.27178976683436734,0.9701139237654087,train
1.8201471819561046,0.2433347135897375,1.4037949616879508,train
1.7185030971668809,0.10366197596103006,1.3357234013994108,train
1.5018341083570268,0.2746626026945019,1.2937091217730612,test
1.9376204476669279,0.05446853448670333,1.4049628287342972,train
1.8885718658216282,0.0854565432205768,1.3943737448624174,train
1.622372754952631,0.1974424349807565,1.3204634957539259,train
1.7910521143215166,0.22697252487016525,1.3895532756227875,test
0.8707201104831612,0.024597522126707037,0.9418655319372207,train
0.7118698353515474,0.0879706098864351,0.8751881035112737,train
1.5050927739724038,0.11701963196133433,1.2556294959491456,train
