alpha,beta,A,omega
1.0403958270254647,0.2498617142547873,1.0,0.9834561518906075
1.3992867095799157,0.20338412650616405,0.5,1.1827572648795734
0.890546333522163,0.25767509625462864,1.0,0.8846733838476333
0.8965095936984883,0.03128938340550448,1.0,0.9463672724105575
0.9324919829717984,0.16037110473465582,0.5,0.9654757786105256
0.6465734863765851,0.017700086890760146,2.0,0.781590340444939
1.6114166798572385,0.053901989689507546,1.0,1.2688324962008304
1.476008644399475,0.01826686012291833,2.0,1.2095216992682407
0.7345199748553796,0.20978007917743763,0.5,0.8565914181268937
1.121975241711873,0.041087136681179,1.5,1.0515941943176312
1.8267822974271695,0.03551833493730501,1.0,1.3513790293992463
0.6394879889933425,0.05723963719944462,0.5,0.7996399700934137
1.6300481271925378,0.13350099403968116,0.5,1.2766800324264027
1.0067813041688827,0.01571626023435928,1.0,1.0032867838184327
0.6982682624287935,0.08791976899023278,0.5,0.8355413790148559
1.0087923391702605,0.017610853013098466,1.0,1.004263403568719
1.8116618021637096,0.050632345205544334,1.0,1.3455511681154917
0.623067509023433,0.10789915559593934,0.5,0.7891966556420967
1.8902078035378793,0.13689804468227806,1.5,1.323127559330437
1.4334700455728902,0.09630916617799518,1.0,1.1949488773305874
0.6750647851715033,0.10299378996812711,1.0,0.8120803291879046
0.6697612400696336,0.14400284469915006,0.5,0.8181487122017989
1.1988998617463964,0.11206049642998339,0.5,1.094883158744996
1.4476282883041378,0.23651053632558142,0.5,1.202971613056797
1.4245756866423653,0.015123129515646462,1.5,1.1929245987341703
0.5481220229272306,0.057006741454717985,1.0,0.736698368292723
1.7111341715619417,0.03952755172893364,1.0,1.307820421517228
1.6801921414092478,0.11233192319098662,1.5,1.2569778750140301
1.8729624029229628,0.11331556047667848,0.5,1.368531062575087
1.5054599701077156,0.22729499767934072,0.5,1.2267957399843092
1.5392933485028348,0.22156083644555483,0.5,1.24052092628841
0.7456124816797518,0.2659002724428038,0.5,0.8627731118238741
0.5983447286276299,0.18270490068725964,1.0,0.7152332257753031
1.4685820483394503,0.19617034736992356,1.0,1.2014527046639165
1.920359999740111,0.12294680987992856,0.5,1.3857352561165281
1.0240765383081434,0.09838247206593255,1.0,1.0077603702052307
1.632832364992121,0.02036788740841801,1.0,1.2777437998700372
0.5980984480425002,0.28380013080956107,0.5,0.7722100591131085
0.7493077483894568,0.22826548498177612,0.5,0.8651068919890545
0.915700002307985,0.11935159747116908,1.0,0.9491518668686795
1.3254773775511124,0.263757658563244,0.5,1.151004483809143
1.336113320136365,0.2312478237747791,0.5,1.155684865981089
