alpha,beta,delta,F0,omega_ext,A,max_residual
1.8149976680582953,0.19687264857703624,0.03259643772746636,0.5125990191816134,1.1294510497703298,1.719498119765844,4.551440672721087e-11
1.7665900771542111,0.21635207042504284,0.12119765590671637,1.4685395398740198,1.4664110864800095,1.573493853290699,2.938278426385556e-11
0.6131616245505669,0.08881129940157981,0.15174656145286966,1.3185887774095693,0.9146782131046015,1.2801820653371305,3.5657738072377466e-11
1.1075083047729584,0.06642049242156303,0.15905911108761975,0.33547075060564224,1.0411574509392063,1.7709830849596333,1.1935934449661935e-11
1.9772375907288515,0.1804552161125903,0.011106239436461328,0.3578646831247584,0.9105774600461307,1.828004266383172,3.469432821666006e-10
0.763380537266264,0.026668961489398187,0.13606930854556373,0.12786729920055545,1.2997158726741906,0.13565100747229508,3.988370363762824e-12
0.7994615086622725,0.11042559806521184,0.10052143506230324,0.7098274620190702,1.1715897915083455,1.1463376267115184,6.673555049693126e-12
1.379649672348665,0.20483129340149628,0.014913177960288166,0.7417151909885552,1.2247238229543604,1.4729275399503037,2.515813174290925e-10
0.5045635637309326,0.2357829269588291,0.1359887654588812,1.0847355273679846,1.3762880200954133,0.760833667532527,3.4682061878887815e-10
1.2626698168787187,0.07775041834233246,0.09339929417115841,0.31642756777158676,1.1334640411227321,1.7456261527787666,1.7392703097563184e-10
0.8826424363726734,0.02037518411676669,0.03531754335442712,1.2930605866897538,1.1432862149271774,2.4358989698201547,6.280422067578065e-10
1.5631529455630504,0.18122427091824023,0.15021869668530677,1.2392862258709825,0.9654113800378161,1.5688124662200822,1.8577087917823078e-11
1.0090412904051838,0.12209565421867154,0.1173481521970848,0.31154679993732065,1.1226913897385413,1.0421796637493566,2.973486590781004e-10
0.8567528652374019,0.24923850929477828,0.07397089081645297,0.9029788787015617,1.4245850819914034,0.7578884650260601,6.243933290149599e-12
1.5455929565365119,0.2092420166289628,0.1905377599847295,0.3552094343455301,1.0745124516569442,0.8129355740160574,9.258937835326231e-12
0.606010941180342,0.05033087265476353,0.043174254945951014,1.0565588909890178,0.8560083247112436,1.7985922495753084,1.6941621821138673e-11
1.2978212675992618,0.11961702576848658,0.08380791300001929,0.16144265041410014,1.2868002335362085,0.43168437539208737,1.7613817463724975e-10
0.7243450585593503,0.021695232749267226,0.12240795934234201,0.2761932272867408,0.8312416613436766,2.3128869998621155,1.088318364855174e-10
0.8337363186264871,0.10923684550335969,0.1771234732108261,0.28171356457526653,1.443429169304701,0.22084162908982044,1.7749377561474844e-11
1.3771668608285423,0.2582043942320226,0.13884018902696754,0.5990321619706424,1.3642005548261422,1.0422536667371372,2.1878220704850678e-11
1.6380396872919616,0.20722935851665072,0.048096757100104706,0.6433907544926692,0.9615279771859719,0.9058988344084833,5.1536567095060216e-12
0.681698601477323,0.032786803936553824,0.012858222776968502,0.8065960064383758,1.351787825292647,0.7038609408935285,1.062103868078588e-12
1.2494563247374773,0.12984018929193678,0.0798614542215512,0.37540169823034375,1.431568518876654,0.46449841923591556,9.199003079211734e-12
1.9004578343799232,0.21158664261766813,0.15283473439391232,1.1214897327680655,1.3612357408681341,1.663409067440167,2.2765456455423221e-10
1.319571225177958,0.25937155359891956,0.05167013317156399,1.1300440917405736,1.0016274382853692,1.3206718969245628,6.236043633192031e-11
1.5463193501681356,0.07457044221596408,0.19173841384261442,0.6861741369541466,1.4697272018628758,1.011209981602752,1.5598750545046855e-10
1.9944097978961297,0.0328527972532401,0.11753442540487506,0.9884110283298806,0.8663087798397574,0.7918778013582177,9.85084428127993e-11
0.7837079242375993,0.2888953679563709,0.19657026840723024,0.2485259363329824,0.9722981532822559,0.8791812153073733,2.337897609229069e-11
0.86627003121212,0.024029145931139823,0.09419738136672819,0.9413082941681574,1.232340942505425,1.4099640040987784,4.1460747179302975e-11
0.99696251564122,0.03592038728342934,0.17192634117190844,0.598739308435995,1.1109029999788285,1.7848568707781616,8.534372393921953e-12
1.9141749355626887,0.2489503356686788,0.021881980568411397,0.2082427205635769,1.4507991916122833,0.9673047014912073,6.930876787745716e-12
1.0206587805821428,0.21227152158836465,0.020199141448679594,1.4249684942770238,1.266817147288339,1.342227688188708,3.1181413919182915e-10
0.9239626521145013,0.2519907557759943,0.1908717694075857,0.8865323481299696,0.9440436694622288,1.2046759765298172,1.0053725709850068e-10
1.7005348314010174,0.08182059983533975,0.05823413906878057,1.350239944270114,1.351909036562616,2.1545316740910367,6.457082239906936e-10
1.0251189236358176,0.24580782458839376,0.17727161638601238,0.24147230753639123,1.4050054326070485,0.2461300055204433,1.0906638058684972e-11
1.0023699591421624,0.04739634404082818,0.07470657016481867,0.8736944649317281,1.3041564912740535,1.2263173577040856,1.18305975099485e-11
1.649944943994009,0.04829243542660379,0.18160667012362394,0.128524681726098,0.8437321046117745,0.13521894627287642,7.018058445304809e-12
1.8633306117038035,0.2974359195202987,0.08333240009378268,0.19675169887734606,1.033718904330175,0.24612206380038107,2.1586373415510567e-11
1.2173151055521245,0.23485959945451804,0.1355440261132403,0.4640935922381676,1.1586241436239302,1.2738235692773476,5.052593239670631e-10
1.0994791897107614,0.2664977345568821,0.16872098506224031,0.3393365582748956,1.4011953133851174,0.3788037200490695,1.0769493333613528e-11
0.9051759168273996,0.0574589900326457,0.07294322911018847,0.42077202150032333,1.1734987001675863,0.8745773115633578,5.298708213716082e-12
0.7079887778780777,0.2744735656596673,0.14537175615808692,0.7066214122185557,1.0804764400790765,1.0504780199819421,4.332473829298509e-11
1.4118480499461605,0.08058839587498348,0.10428263145592379,0.6622853111215233,1.4807480767632832,0.8306879859315327,4.270847892200425e-12
0.6989951661678717,0.13476656213189797,0.012555577629923837,1.2988484307464756,1.4998552678037889,0.8326889262708203,2.310482314503334e-13
