alpha,beta,delta,F0,omega_ext,A,n_branches
1.953991216810063,0.21143817160016928,0.07490931988584419,1.3241598889043464,1.2252625790141396,1.3910265701298081,1
1.344352676662059,0.24554390873217505,0.11090736355486222,0.6361925499893496,0.8379460673200343,0.8661742280186399,1
0.8021871882909342,0.026400380169451877,0.14666683234849673,0.8766439695495782,1.128277457032432,2.6080452623548616,1
1.0525500164747112,0.028662784815185943,0.0354131599073674,1.4493464874779098,1.1273477213581014,2.569577035443373,1
1.708184313031333,0.04735901596729631,0.17013908005279305,0.7458159190705361,1.3057947121760327,1.8366619167701324,1
0.675282545696384,0.22070501973646017,0.15289411707031497,1.4367046672772164,1.4456196500260838,1.976903523985945,1
1.8361381500017608,0.03287719179485627,0.1771986671900791,0.6249020631029873,1.190491918190595,1.223887757625708,1
0.7592409974393125,0.2523353100900659,0.11315301810138251,0.15512592796168362,1.3239576466001517,0.154390366707996,1
1.0179694928992122,0.10130006310180609,0.18829482646717752,1.0418219979014898,0.810153369101821,1.4965707206078613,1
0.9105345770389732,0.17763354676395104,0.14844175101987236,0.91499434411085,1.3184709295323993,1.844047756602729,1
1.1230077366002793,0.07741555145805637,0.13069644466311242,1.4977115799894192,1.0167036008632886,1.9321657723057688,1
1.5719330037581298,0.11276328541096553,0.1795860131712824,1.3415289047378287,0.812147035572586,1.2350848586857615,1
1.5378571216819399,0.19528440998960167,0.08925007234763507,1.1644615297128225,1.3272087333304678,1.6555723552424249,1
0.8855587835403729,0.044020245543634776,0.11992344376341332,0.41665165338158505,0.9276214403476377,1.646520185197301,1
1.1908774039804266,0.02671632280113958,0.19109129177980924,1.2896095854655338,1.3337847095355317,2.766695717587063,1
0.9359506459701965,0.01824501285354181,0.06817232275190176,1.361469900723745,0.9475025005990736,2.559934809579307,1
1.986308987632793,0.1986181998106659,0.10333770756284244,1.2208053387617361,1.492292368822619,1.6662486316530616,1
1.620101693799925,0.22923809651249027,0.08271763477929427,0.6564194438672456,1.0381811666748644,0.9717360179009555,1
1.750577999745253,0.14846329217912202,0.1410617666132348,0.9969943710234358,1.337903103182175,1.612937590095326,1
0.8728643684237849,0.2487964648942064,0.10757284664721094,0.7801932750569578,0.9929588691730026,1.4290492318762227,1
1.2636945451713153,0.09227949357890827,0.1950239751690297,1.1401787162571473,0.8452472033173325,1.4216871434048746,1
1.3617031289314234,0.2319489407429166,0.10174556617708033,1.4995968026932225,1.1823814235999999,1.6052945365904716,1
1.254740202448647,0.21638229954609775,0.14390409020581585,0.2968450855592796,1.1935655728359778,1.252755657364608,1
1.645195456088159,0.20467816468197433,0.17335676768944702,0.3784453279881963,0.9449715615850602,0.48712547047432786,1
1.1475070483516217,0.21425352795811553,0.13405833420395918,0.5782019822359786,0.9248939445657586,1.1186591390468175,1
0.6615324208498539,0.15823342803332113,0.05324398849794196,0.6135049107891618,0.896815092716917,1.52937159377511,1
1.5001443020700194,0.21891102783115127,0.12398241031284742,1.4603560481303124,1.421169461098571,1.7650616780259365,1
1.7138443992335908,0.08342790394570375,0.11813817082988906,1.0749895768953386,1.3369007095372076,1.8631937545983905,1
0.5144997458939864,0.08985689557755613,0.07668959812813438,1.410694209944969,1.1975994297580375,2.2847435746665608,1
0.6297649061107746,0.2099855752394484,0.1810779316212956,0.3544650260096607,1.4414832256860777,0.24096712368427448,1
1.582199459249785,0.28548309447820747,0.10317191808670645,0.24986095831779823,1.1429960684418976,0.7234280585324231,1
1.699485222628613,0.144287828695009,0.14237431384827196,0.5608853506246488,1.236148576801989,1.2691403819868552,1
1.0675535018027051,0.27988986327007465,0.03577576954677329,1.0996305620339988,1.0306058723243532,1.4419683551447147,1
0.9728137316559244,0.2507264385848793,0.1838685573680951,0.4300388038035199,1.1173510611459843,1.3492480716517357,1
1.3426771461314657,0.29333528263845904,0.10713142645254765,0.2229803554216537,1.153180474527559,0.9893539877379686,1
0.9267503517593687,0.18806371990986315,0.02263725919534758,1.0491135426596794,0.915463666443501,1.507455755691376,1
0.8134771847711046,0.29688548435931417,0.0919586675001703,1.2876564220672952,1.3768013118736935,1.7649684967552937,1
1.2663292905763734,0.06696674801092009,0.17556686112026204,0.22131114037197896,0.8446090543817633,0.38596342142399126,1
